Unnamed: 0,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,geo_altitude,on_ground,velocity,true_track,vertical_rate,barometric_altitude,transponder_code,special_purpose_indicator,position_source,category,hour
68,a09273,N136KY  ,United States,2025-10-01 13:43:16,2025-10-01 13:43:17,-71.7518,42.2895,312.42,False,60.72,181.46,-3.25,274.32,,False,0,0,13
69,a97808,N709WY  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-79.4863,39.632,6080.76,False,141.12,16.52,-5.85,5806.44,3604.0,False,0,0,13
70,a46e40,DAL2178 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-120.0527,39.3417,10005.06,False,268.13,52.95,2.93,9624.06,3277.0,False,0,0,13
71,c07d1a,HRT373  ,Canada,2025-10-01 13:43:17,2025-10-01 13:43:17,-75.4392,42.1203,5303.52,False,192.11,122.2,-3.9,5097.78,2211.0,False,0,0,13
72,ad3c27,DAL1590 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-83.1385,33.5773,6057.9,False,211.79,81.34,0.0,5791.2,2212.0,False,0,1,13
73,4952c1,TAP941  ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,-9.4012,38.6491,3108.96,False,136.5,245.27,-5.2,2887.98,5773.0,False,0,0,13
74,a15bfa,N187PH  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-75.3696,42.6109,1615.44,False,67.46,357.38,0.0,1562.1,,False,0,0,13
75,4952c4,TAP571  ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,-1.8503,46.5064,11765.28,False,244.2,228.59,0.0,11277.6,2576.0,False,0,0,13
76,a1c5e0,ENY3490 ,United States,2025-10-01 13:43:18,2025-10-01 13:43:18,-97.0718,36.5797,10835.64,False,222.27,0.93,0.33,10363.2,,False,0,0,13
77,801626,AXB1010 ,India,2025-10-01 13:42:47,2025-10-01 13:42:47,80.9598,26.7435,10980.42,False,222.66,290.28,-0.33,10363.2,,False,0,0,13
78,a89eb9,N65453  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-93.2135,45.1267,472.44,False,38.41,249.62,6.5,426.72,,False,0,0,13
79,4952c6,TAP88TM ,Portugal,2025-10-01 13:39:25,2025-10-01 13:39:25,-9.1572,38.7417,350.52,False,71.08,22.11,-2.93,213.36,3356.0,False,0,0,13
80,4952c8,TAP669  ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,-3.0653,48.7099,11765.28,False,239.6,203.54,0.0,11277.6,2121.0,False,0,0,13
81,39de46,TVF71AQ ,France,2025-10-01 13:43:16,2025-10-01 13:43:17,1.5436,46.8451,11094.72,False,249.26,199.41,0.0,10668.0,1000.0,False,0,0,13
82,407a05,EZY84AP ,United Kingdom,2025-10-01 13:43:17,2025-10-01 13:43:17,1.0647,52.1483,5593.08,False,181.61,285.61,-4.88,5356.86,3114.0,False,0,0,13
83,440db0,EJU43CB ,Austria,2025-10-01 13:43:17,2025-10-01 13:43:17,10.1996,49.8848,11445.24,False,251.93,206.3,0.0,11285.22,1000.0,False,0,0,13
84,ac2f5a,SWA1558 ,United States,2025-10-01 13:40:44,2025-10-01 13:40:45,-90.3527,38.7364,,True,1.03,236.25,,,4267.0,True,0,0,13
85,3945f5,FGRPV   ,France,2025-10-01 13:43:17,2025-10-01 13:43:17,-1.9512,48.2691,1211.58,False,58.7,48.91,1.3,1036.32,,False,0,0,13
86,ab63d7,DAL1955 ,United States,2025-10-01 13:43:13,2025-10-01 13:43:17,-77.4812,34.1248,10850.88,False,224.63,189.23,0.0,10363.2,1136.0,False,0,0,13
87,ae1fac,NICAD44 ,United States,2025-10-01 13:43:15,2025-10-01 13:43:16,-85.5121,31.3155,586.74,False,62.55,238.79,2.93,556.26,,False,0,13,13
88,801633,AKJ1504 ,India,2025-10-01 13:43:17,2025-10-01 13:43:17,85.8837,23.0131,12298.68,False,225.64,251.52,-0.33,11582.4,2605.0,False,0,0,13
89,a4b238,TWY401  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-80.1209,25.9661,609.6,False,95.53,97.74,0.0,617.22,,False,0,0,13
90,80161d,AKJ1550 ,India,2025-10-01 13:39:12,2025-10-01 13:39:12,77.499,13.7121,4914.9,False,178.9,335.72,9.43,4762.5,,False,0,0,13
91,aa8c02,N779RW  ,United States,2025-10-01 13:43:05,2025-10-01 13:43:07,-89.7,30.4583,929.64,False,83.95,199.32,0.0,899.16,,False,0,0,13
92,80161e,AKJ1564 ,India,2025-10-01 13:43:17,2025-10-01 13:43:17,78.2817,13.387,3627.12,False,131.85,137.85,-4.55,3550.92,,False,0,0,13
93,ac83b4,N905WA  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-80.2688,25.996,243.84,False,41.39,235.12,3.25,243.84,,False,0,0,13
94,39de42,TVF8964 ,France,2025-10-01 13:43:18,2025-10-01 13:43:18,4.5838,42.7288,12260.58,False,258.2,154.76,0.0,11879.58,7667.0,False,0,0,13
95,a2355d,SKW4061 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-119.1546,39.6788,11087.1,False,261.96,53.06,0.0,10668.0,3352.0,False,0,0,13
96,4952ac,TAP089  ,Portugal,2025-10-01 13:38:27,2025-10-01 13:38:27,-19.5363,31.2341,11536.68,False,237.27,226.58,0.0,10972.8,,False,0,0,13
97,a665e6,N511HS  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-94.8934,29.929,4709.16,False,195.43,219.77,-11.38,4526.28,1772.0,False,0,0,13
98,39de41,TVF77XZ ,France,2025-10-01 13:43:07,2025-10-01 13:43:17,18.9803,41.5741,8107.68,False,234.9,322.65,0.33,7924.8,7740.0,False,0,0,13
99,a5de4a,N4776E  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-82.7502,28.2381,762.0,False,59.8,201.71,-0.33,762.0,,False,0,0,13
100,4952af,TAP90EH ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,-16.7772,32.6956,99.06,False,61.48,44.66,0.65,-15.24,,False,0,0,13
101,511187,MBU6239 ,Estonia,2025-10-01 13:43:17,2025-10-01 13:43:17,16.0585,48.2594,10988.04,False,217.66,336.16,0.0,10980.42,7735.0,False,0,0,13
102,3c6668,DLH335  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,9.758,48.705,6835.14,False,212.15,347.11,0.0,6705.6,1000.0,False,0,0,13
103,511184,VPC003  ,Estonia,2025-10-01 13:43:17,2025-10-01 13:43:17,20.5448,45.5326,12618.72,False,238.79,156.91,0.0,12496.8,1370.0,False,0,0,13
104,3c6667,DLH07X  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,3.5147,48.8313,10683.24,False,222.26,64.21,0.0,10363.2,1000.0,False,0,0,13
105,44028c,EJU17JH ,Austria,2025-10-01 13:43:17,2025-10-01 13:43:17,6.3301,46.7151,10043.16,False,190.73,349.9,0.0,9753.6,1000.0,False,0,0,13
106,ac498d,PCM8696 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-118.3793,34.1895,1851.66,False,79.42,290.08,0.0,1790.7,,False,0,0,13
107,3c6666,DLH3NJ  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,10.5541,47.6672,10012.68,False,200.71,338.5,-4.55,9875.52,1000.0,False,0,0,13
108,ac498c,FDX60   ,United States,2025-10-01 13:43:09,2025-10-01 13:43:09,-128.376,44.7236,10607.04,False,256.43,137.93,0.0,10668.0,,False,0,0,13
109,adffd4,OCTAN12 ,United States,2025-10-01 13:41:05,2025-10-01 13:41:07,-100.6543,30.0745,5356.86,False,154.86,230.12,-53.64,5082.54,4503.0,False,0,13,13
110,ae26bb,C6604   ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-76.8243,38.7812,579.12,False,55.41,192.88,0.33,541.02,,False,0,13,13
111,3d1cbd,DEJDD   ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,9.1538,52.5924,1333.5,False,88.4,8.37,0.33,1165.86,7743.0,False,0,0,13
112,adffd3,GUNN42  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-99.0468,36.7227,6804.66,False,260.82,8.05,-4.88,6515.1,,False,0,13,13
113,ab0f8e,N8111   ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-79.766,42.846,1927.86,False,86.65,265.91,0.33,1851.66,3516.0,False,0,0,13
114,511188,MBU7ZT  ,Estonia,2025-10-01 13:43:17,2025-10-01 13:43:17,7.7607,47.6322,10904.22,False,256.53,226.38,0.33,10668.0,611.0,False,0,0,13
115,ae26bd,C6606   ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-74.8398,40.0891,83.82,False,39.11,35.36,-0.33,45.72,,False,0,13,13
116,a3a512,N334EC  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-90.2693,29.8291,281.94,False,59.68,180.49,0.0,266.7,,False,0,0,13
117,a2d2fc,BPX281  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-80.2739,26.0012,281.94,False,38.59,269.24,3.9,297.18,,False,0,0,13
118,abacd2,UAL1975 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-84.8277,33.8525,2674.62,False,124.5,174.78,-7.15,2560.32,3105.0,False,0,0,13
119,4acb01,NSZ4109 ,Sweden,2025-10-01 13:43:17,2025-10-01 13:43:18,11.3449,60.4201,1790.7,False,111.86,276.6,-5.53,1615.44,,False,0,0,13
120,ae6301,HAWK290 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-97.9507,27.4643,4175.76,False,163.09,213.29,2.28,3962.4,5144.0,False,0,0,13
121,aaef89,AAL2435 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-96.9139,32.9015,3017.52,False,123.47,0.0,-7.15,2872.74,6555.0,False,0,0,13
122,4acb03,NSZ6LA  ,Sweden,2025-10-01 13:43:17,2025-10-01 13:43:17,12.3894,58.2896,11993.88,False,215.49,55.21,0.0,11887.2,1405.0,False,0,0,13
123,ad4f72,JBU2173 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-77.3827,34.5292,10180.32,False,223.46,203.61,0.0,9753.6,1403.0,False,0,0,13
124,3c664f,DLH7HE  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,13.5225,48.2061,11361.42,False,250.79,111.04,0.0,11277.6,1000.0,False,0,0,13
125,3c664e,DLH74K  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,9.1584,49.1697,5402.58,False,163.49,9.97,-4.23,5242.56,1000.0,False,0,0,13
126,801683,AXB1130 ,India,2025-10-01 13:43:17,2025-10-01 13:43:17,84.6068,21.5907,9121.14,False,234.17,327.29,5.2,8648.7,1422.0,False,0,0,13
127,801684,GOA122A ,India,2025-10-01 13:43:16,2025-10-01 13:43:16,73.5564,16.0476,4114.8,False,102.73,277.48,-0.33,3962.4,,False,0,0,13
128,a47597,DAL2947 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-121.8678,43.6394,12138.66,False,209.4,175.91,0.0,11887.2,3517.0,False,0,0,13
129,4bc8c8,PGT1142 ,Turkey,2025-10-01 13:43:17,2025-10-01 13:43:17,10.205,44.8948,10843.26,False,244.93,103.98,0.0,10668.0,403.0,False,0,0,13
130,51116f,MBU2EG  ,Estonia,2025-10-01 13:43:17,2025-10-01 13:43:17,9.1823,43.5401,11193.78,False,209.05,24.42,-0.33,10972.8,465.0,False,0,0,13
131,4bc8c9,PGT8MB  ,Turkey,2025-10-01 13:43:17,2025-10-01 13:43:17,-5.9494,37.4284,647.7,False,103.83,298.72,10.08,533.4,1455.0,False,0,0,13
132,4bc8c6,PGT56UM ,Turkey,2025-10-01 13:43:17,2025-10-01 13:43:17,24.0044,44.3045,10782.3,False,244.79,143.8,0.0,10668.0,7617.0,False,0,0,13
133,4bc8c5,PGT8SR  ,Turkey,2025-10-01 13:43:17,2025-10-01 13:43:17,15.0369,44.1994,10797.54,False,244.08,99.46,0.0,10668.0,2274.0,False,0,0,13
134,ae13a2,,United States,2025-10-01 13:43:09,2025-10-01 13:43:09,-97.8757,36.2103,1600.2,False,131.47,140.08,-3.58,1508.76,,False,0,13,13
135,4bc8c2,PGT82AH ,Turkey,2025-10-01 13:43:17,2025-10-01 13:43:17,6.3693,46.5368,10668.0,False,210.5,302.52,0.0,10363.2,3261.0,False,0,0,13
136,a7b057,DAL607  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-91.8652,38.4896,10873.74,False,222.79,271.06,0.0,10378.44,1537.0,False,0,0,13
137,e49446,AZU2854 ,Brazil,2025-10-01 13:43:17,2025-10-01 13:43:17,-46.8843,-23.1916,4038.6,False,187.57,93.3,-10.73,3787.14,,False,0,0,13
138,3c6664,DLH8NK  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,11.8256,48.3463,929.64,False,92.72,83.31,9.1,777.24,4355.0,False,0,0,13
139,3c6663,DLH66V  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,8.2825,49.9675,1219.2,False,86.95,69.21,-4.23,1043.94,5507.0,False,0,0,13
140,40814c,GLMHA   ,United Kingdom,2025-10-01 13:43:17,2025-10-01 13:43:17,5.1077,49.9529,12824.46,False,271.38,132.0,-0.65,12496.8,7313.0,False,0,0,13
141,ac83c3,SIY905  ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-80.5514,27.0699,5966.46,False,161.68,312.42,10.08,5661.66,,False,0,0,13
142,4bc8c1,PGT1XP  ,Turkey,2025-10-01 13:43:16,2025-10-01 13:43:16,28.9073,40.7774,1562.1,False,126.29,73.19,-4.55,1455.42,6522.0,False,0,0,13
143,44028f,OECCE   ,Austria,2025-10-01 13:43:17,2025-10-01 13:43:17,12.483,41.9398,342.9,False,43.57,247.07,0.0,312.42,,False,0,0,13
144,801680,AXB1512 ,India,2025-10-01 13:43:17,2025-10-01 13:43:17,87.4454,25.0376,11986.26,False,226.33,139.79,-0.33,11277.6,516.0,False,0,0,13
145,3c6662,DLH4NF  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,11.9952,48.0522,3726.18,False,195.76,185.13,5.53,3611.88,6413.0,False,0,0,13
146,80167d,AXB2656 ,India,2025-10-01 13:43:16,2025-10-01 13:43:17,84.8025,20.5681,11650.98,False,233.46,212.67,0.0,10972.8,2613.0,False,0,0,13
147,4952a8,TAP118  ,Portugal,2025-10-01 13:43:17,2025-10-01 13:43:17,-8.9362,38.3558,2598.42,False,128.94,317.91,-5.85,2400.3,4474.0,False,0,0,13
148,3c6677,DLH32X  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,-1.4687,42.8268,11148.06,False,236.86,241.6,0.0,10668.0,2516.0,False,0,0,13
149,80167c,AXB1163 ,India,2025-10-01 13:39:26,2025-10-01 13:39:26,72.8723,19.0905,,True,6.17,90.0,,,,False,0,0,13
150,3dbc00,GAF517  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,11.7602,53.6752,2918.46,False,76.67,215.72,0.0,2743.2,1360.0,False,0,0,13
151,80167f,AIC2418 ,India,2025-10-01 13:41:23,2025-10-01 13:41:23,77.0934,28.5414,,True,18.01,90.0,,,,False,0,0,13
152,adffc0,CARBN21 ,United States,2025-10-01 13:43:17,2025-10-01 13:43:17,-98.3339,29.6078,8732.52,False,255.98,106.94,0.98,8237.22,4620.0,False,0,13,13
153,3c666e,DLH2PF  ,Germany,2025-10-01 13:43:17,2025-10-01 13:43:17,14.7301,37.6438,4282.44,False,172.88,353.68,15.93,4137.66,,False,0,0,13
